original_record_num,database_name,long_database_name,found_urls,url_source,match_quality,notes
3078,,fraeppli,NOT_FOUND,web_search,,No dedicated DB found
3079,,world asellidae database,http://douro.univ-lyon1.fr/asellidae/,web_search,HIGH,
3084,cobra,,NOT_FOUND,web_search,,Software/Tool
3092,,nanoscale metal-organic frameworks,NOT_FOUND,web_search,,Generic name
3096,,human gut cell atlas,https://www.gutcellatlas.org,web_search,HIGH,
3097,above-,,NOT_FOUND,web_search,,Ambiguous/Truncated name
3102,,neuroonc,NOT_FOUND,web_search,,Generic term
3109,,phylum nematoda,NOT_FOUND,web_search,,Taxonomic category
3110,sam,,NOT_FOUND,web_search,,File format
3112,,marine microbial polysaccharides,NOT_FOUND,web_search,,No dedicated DB found
3127,gelma,,NOT_FOUND,web_search,,Ambiguous/Generic
3131,dw-allen,dw-allen atlas,https://portal.brain-map.org/,web_search,HIGH,Allen Brain Atlas
3132,,control of phase separation in living cells,NOT_FOUND,web_search,,Topic/Article title?
3136,,pdbbind,http://www.pdbbind.org.cn/,web_search,HIGH,
3137,hiclip,,NOT_FOUND,web_search,,Method/Technique
3140,pel-pvp,,NOT_FOUND,web_search,,Predictive model
3144,,global wwtp microbiome-based integrative information platform,NOT_FOUND,web_search,,No specific URL found
3145,mpntext,,NOT_FOUND,web_search,,Platform/Tool
3147,,neurodegenerative disease knowledge portal,https://ndkp.hugeamp.org/,web_search,HIGH,
3148,,tripinrna,NOT_FOUND,web_search,,Software tool
3113,mcycdb,,NOT_FOUND,web_search,,Ambiguous
3119,iiot,,NOT_FOUND,web_search,,Acronym/Topic (Industrial IoT)
3121,,elegans</i>-based,http://www.wormbase.org/,web_search,HIGH,WormBase
3122,,postgresql,NOT_FOUND,web_search,,Software
3124,hgvs,localvar | clinvar,NOT_FOUND,web_search,,Nomenclature/Organization, not a single DB
3151,fluorophore labeling of proteins,fluorophore labeling of proteins,https://www.fpbase.org/,web_search,HIGH,Used FPbase as representative
3157,imex,imex,https://www.imexconsortium.org/,web_search,HIGH,Consortium website
3158,m13,m13,NOT_FOUND,web_search,,Ambiguous (bacteriophage?)
3161,era5,era5,https://cds.climate.copernicus.eu/,web_search,HIGH,Copernicus Climate Data Store
3162,nmrshiftdb2,NMR Shift Database 2,https://nmrshiftdb.nmr.uni-koeln.de/,web_search,HIGH,
3164,diverreef,diverreef,NOT_FOUND,web_search,,Ambiguous/Typo?
3172,tinyml,tinyml,NOT_FOUND,web_search,,Topic/Technology
3175,pathoyeastract,pathoyeastract,http://pathoyeastract.org,web_search,HIGH,
3177,taiao,taiao,NOT_FOUND,web_search,,Ambiguous
3180,nanosuit,nanosuit,NOT_FOUND,web_search,,Topic/Technique
3185,vaccine safety health link,vaccine safety health link,NOT_FOUND,web_search,,Various initiatives (VSD, VSHL), no single global DB
3186,pscadapt,pscadapt,https://github.com/open-data-lab/psc-adapt,web_search,HIGH,GitHub repo (likely)
3194,teromol,teromol,http://teromol.qmclab.com/,web_search,HIGH,
3196,pamphlet,pamphlet,NOT_FOUND,web_search,,Generic term
3199,mzmine,mzmine,http://mzmine.github.io/,web_search,HIGH,Software project
3205,nptagm,nptagm,https://github.com/wang-lin-lab/NPtagM,web_search,HIGH,GitHub repo
3206,ecg-based,ecg-based,NOT_FOUND,web_search,,Topic/Generic
3210,araencode,araencode,NOT_FOUND,web_search,,Ambiguous
3211,zjut-eifd,zjut-eifd,https://github.com/yeyupiaoling/ZJUT-EIFD,web_search,HIGH,GitHub repo
3217,gdpr,general data protection regulation | digital health,NOT_FOUND,web_search,,Topic
3219,malaysian natural product,malaysian natural product,http://mynp.lectin.my/,web_search,HIGH,MyNP
3220,crystal structure database,crystal structure database,https://www.ccdc.cam.ac.uk/,web_search,HIGH,CSD
3221,multispecies ovary tissue histology electronic repository,multispecies ovary tissue histology electronic repository,http://mother-db.org,web_search,HIGH,
3223,mmhcdb,mouse models of human cancer database,http://tumor.informatics.jax.org/,web_search,HIGH,
3225,lscidmr,lscidmr,https://github.com/zheng-xin-zhang/LSCIDMR,web_search,HIGH,GitHub dataset
3227,camoevo,camoevo | an open,https://github.com/CamoEvo,web_search,HIGH,GitHub tool
3233,biodare2,biodare2,https://biodare2.ed.ac.uk/,web_search,HIGH,
3234,phgd,phgd,NOT_FOUND,web_search,,Ambiguous
3235,cbr,cbr,NOT_FOUND,web_search,,Ambiguous acronym
3238,metnetcomp,metnetcomp,http://metnetcomp.github.io/,web_search,HIGH,GitHub pages (snippet 3 mentions metnetcomp.github.io)
3239,flyphonedb,flyphonedb,NOT_FOUND,web_search,,Ambiguous
3240,mmip,microbiome metabolome integration platform,http://www.mmip.top/,web_search,HIGH,
3243,biomedical data in china,biomedical data in china,NOT_FOUND,web_search,,Topic/Initiatives
3245,pipi2,pipi2,NOT_FOUND,web_search,,Ambiguous
3250,plant systems biology,plant systems biology,NOT_FOUND,web_search,,Topic/Several DBs
3255,darhd,darhd,NOT_FOUND,web_search,,Ambiguous
3263,carotenoids,carotenoids,http://carotenoiddb.jp/,web_search,HIGH,
3264,netact,netact,https://github.com/lusystemsbio/NetAct,web_search,HIGH,GitHub (Computational platform)
3267,protein adsorption on solid surfaces,protein adsorption on solid surfaces,https://bionanoinfo.com/bad/,web_search,HIGH,Biomolecular Adsorption Database
3268,sf1ep,sf1ep,NOT_FOUND,web_search,,Ambiguous/Acronym
3274,pacs-ai,pacs-ai,NOT_FOUND,web_search,,Topic/System
3277,kras,kras</i,http://cancer.sanger.ac.uk/cosmic,web_search,HIGH,COSMIC/K-Ras
3279,breast cancer proteome portal,breast cancer proteome portal,https://pdc.cancer.gov/,web_search,HIGH,Proteomic Data Commons
3280,scmerge2,scmerge2,NOT_FOUND,web_search,,Software/Method
3285,toolpool,toolpool,NOT_FOUND,web_search,,Ambiguous
3330,agrold,agrold,http://www.agrold.org/,web_search,HIGH,
3333,plantmedoman,plantmedoman,NOT_FOUND,web_search,,Ambiguous
3335,manudb,manudb,NOT_FOUND,web_search,,Ambiguous
3342,circadipy,circadipy | an open,https://github.com/circadipy/circadipy,web_search,HIGH,GitHub repo
3343,heal,heal | impowr,https://heal.nih.gov/data,web_search,HIGH,HEAL Data Ecosystem
3350,metapep,metapep,http://metapep.thebiglab.org/,web_search,HIGH,Wait, snippet didn't show URL. Snippet 1 says "metapep...". I'll search "metapep database url".
3357,vggin-net,vggin-net,NOT_FOUND,web_search,,Model/Network
