pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name
34666315,Light-weight electrophysiology hardware and software platform for cloud-based neural recording experiments.,False,Y,high,Tool/platform for neural recording not a database,
23633602,Integrated database of information from structural genomics experiments.,True,N,high,Database keyword in title,bacpedia,BACpedia
31681834,Building a Consistent and Reproducible Database for Adsorption Evaluation in Covalent-Organic Frameworks.,False,Y,high,Database mentioned but no URL not accessible,
23590400,Towards a comprehensive catalog of zebrafish behavior 1.0 and beyond.,False,Y,medium,Catalog mentioned but no URL,
27768939,"Encoding of low-quality DNA profiles as genotype probability matrices for improved profile comparisons, relatedness evaluation and database searches.",False,Y,high,Method for database searches not a database,
33001999,Phenotype-genotype comorbidity analysis of patients with rare disorders provides insight into their pathological and molecular bases.,False,Y,high,Analysis method not a database,
24162468,Anatomical entity mention recognition at literature scale.,True,N,high,Database keyword + recognition tool resource,AnatomyTagger,Anatomy Tagger
29176560,An activity-dependent proximity ligation platform for spatially resolved quantification of active enzymes in single cells.,False,Y,high,Platform/method for enzyme analysis not a database,
32227644,Combining focused identification of germplasm and core collection strategies to identify genebank accessions for central European soybean breeding.,False,Y,high,Method for identification not a database,
32690973,"A unified catalog of 204,938 reference genomes from the human gut microbiome.",False,Y,medium,Catalog mentioned but no URL,
24324667,A reference methylome database and analysis pipeline to facilitate integrative and comparative epigenomics.,False,Y,high,Database mentioned but no URL not accessible,
33555347,DNA G-quadruplexes for native mass spectrometry in potassium: a database of validated structures in electrospray-compatible conditions.,True,N,high,Database keyword in title,G4_database,G-quadruplex Database
32548865,The UK Veterinary Immunological Toolbox Website: promoting vaccine research by facilitating communication and removing reagent barriers.,True,N,high,Repository/archive keyword in title,VKIT,UK Veterinary Immunological Toolbox
29447218,FindPrimaryPairs: An efficient algorithm for predicting element-transferring reactant/product pairs in metabolic networks.,True,Y,high,Algorithm for prediction not a database,
32976564,Fold recognition by scoring protein maps using the congruence coefficient.,True,Y,high,Method for fold recognition not a database,
26423616,Semantic biomedical resource discovery: a Natural Language Processing framework.,True,Y,high,Framework/tool for resource discovery not a database,
22373409,Exploring and linking biomedical resources through multidimensional semantic spaces.,False,Y,high,Tool for linking resources not a database,
28877732,"Ontology-based specification, identification and analysis of perioperative risks.",False,Y,high,Ontology-based analysis not a database,
29785409,<i>De novo</i> genome and transcriptome resources of the Adzuki bean borer <i>Ostrinia scapulalis</i> (Lepidoptera: Crambidae).,True,N,high,Database keyword + genome resource,Ostrinia_scapulalis_genome,Ostrinia scapulalis genome database
26099924,A Versatile Phenotyping System and Analytics Platform Reveals Diverse Temporal Responses to Water Availability in Setaria.,False,Y,high,Platform/system for phenotyping not a database,
27549386,A high resolution map of the Arabidopsis thaliana developmental transcriptome based on RNA-seq profiling.,True,N,high,Map suffix + database keyword,TraVA,TraVA Database
28605770,Improving biocuration of microRNAs in diseases: a case study in idiopathic pulmonary fibrosis.,True,N,high,Database keyword + curation resource,ODIN,ODIN biocuration database
27910033,Cytogenetic Resources and Information.,True,N,high,Repository keyword in title,ACOG,Atlas of Genetics and Cytogenetics in Oncology and Haematology
32570350,Building an I2B2-Based Population Repository for Clinical Research.,False,Y,high,Repository mentioned but no URL not accessible,
27609510,"A novel method for predicting activity of cis-regulatory modules, based on a diverse training set.",False,Y,high,Method for prediction not a database,
22581174,Fast and sensitive mapping of bisulfite-treated sequencing data.,True,Y,high,Tool for mapping not a database,
23195120,A survey of the neuroscience resource landscape: perspectives from the neuroscience information framework.,False,Y,high,Survey/analysis not a database,
24721472,Construction and analysis of a human hepatotoxicity database suitable for QSAR modeling using post-market safety data.,False,Y,high,Database mentioned but no URL not accessible,
22797899,A public resource facilitating clinical use of genomes.,False,Y,high,Resource mentioned but no URL not accessible,
22719234,Metabolic reconstruction for metagenomic data and its application to the human microbiome.,True,Y,high,Tool for reconstruction not a database,
22606321,A multi-platform flow device for microbial (co-) cultivation and microscopic analysis.,False,Y,high,Device/platform for cultivation not a database,
21267068,A high-resolution anatomical atlas of the transcriptome in the mouse embryo.,True,N,high,Atlas keyword in title,EurExpress,EurExpress Transcriptome Atlas
33965931,Enabling FAIR Discovery of Rare Disease Digital Resources.,False,Y,high,Method for discovery not a database,
27626298,Developing a Multiplexed Quantitative Cross-Linking Mass Spectrometry Platform for Comparative Structural Analysis of Protein Complexes.,False,Y,high,Platform/method for analysis not a database,
28444127,HLA class I binding prediction via convolutional neural networks.,False,Y,high,Method for prediction not a database,
